,trade_date,market,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36
71,2021-04-15T00:00:00.000,JKM,18.697447980549857,21.54271180367701,21.610456180418133,21.678200557159258,22.031826203747915,21.77846223473612,22.936891077009314,24.790377224646434,25.329622463505768,25.428529253547808,23.377229525826614,18.760314762165617,17.663126836466397,17.537393273234873,17.62708682804012,17.986944957288966,18.346803086537808,19.563763070315336,20.425471542462414,21.020538147756437,22.301177845670622,22.301177845670622,20.47885411133442,17.476152356660897,16.454025200390838,16.33696291738218,16.42069496703421,16.755894143149284,17.09082234175739,17.983151272191463,18.89065494301554,19.441010259660423,19.74748582003726,19.74748582003726,18.13381476606372,16.46811603075299
69,2021-04-13T00:00:00.000,JKM,18.69337878378639,20.589808515474864,20.72526778202404,20.860727048573217,20.93252045984428,21.137063952333538,22.261375864691708,24.060274924464775,24.646542630089613,24.742718709339524,22.746861876003955,18.25449076016706,17.186800821226445,17.06434564426599,17.15185233045676,17.501879075219833,17.851905819982903,19.03609072815581,19.874583588095213,20.45353649332639,21.72468625062387,21.72468625062387,19.949357103230355,17.02452061990053,16.02889501076408,15.914567389796579,15.996113868259183,16.3225707006427,16.649027533026217,17.518405105738832,18.40241227923876,18.938289137707304,19.35604551574496,19.35604551574496,17.774423119516776,16.141597120533
68,2021-04-12T00:00:00.000,JKM,18.693317134975583,20.52201120252754,20.589740612436874,20.8606582520742,20.93245142657809,21.264325535133818,22.39540668061966,24.205136513397004,24.56166412715973,24.657568971591342,22.668762579013723,18.19157766636725,17.12768409551147,17.005771157674673,17.092735719998252,17.44167763985113,17.79061955970401,18.970736797964207,19.806246798605724,20.38330137103323,21.72461460487764,21.72461460487764,19.94929131233423,17.024464474809644,16.028842149142466,15.914514905215517,15.996061114746352,16.322516870509332,16.648972626272315,17.518347331868497,18.402351590005093,18.938226681207727,19.355981681528483,19.355981681528483,17.77436450132577,16.141543887231595
72,2021-04-16T00:00:00.000,JKM,18.666601091460503,22.318762174572342,22.318762174572342,22.345815219632428,22.372868264692514,22.73537906849769,23.806679652877165,24.877980237256637,25.785068838121376,25.8857061657449,23.797752148007334,18.985015431817732,17.874758462551736,17.747338620318722,17.838236851720616,18.202370838229395,18.56650482473818,19.478192443263133,20.33604450211851,20.928506188934435,22.590645277426223,22.590645277426223,20.744545482525837,17.70297162642018,16.667651591970625,16.54888872415684,16.633835285645514,16.973351001149613,17.312596186203113,18.216708952111244,19.135700892802426,19.69326415149083,19.869379474832,19.869379474832,18.24592624077614,16.56999009930371
70,2021-04-14T00:00:00.000,JKM,18.646793105399375,20.673618442942786,20.943861821281903,21.078983510451465,21.28977334555598,21.27490995974733,22.406689228231567,24.217319863103683,24.669707278443372,24.7659139211321,22.768274868449314,18.271425052886332,17.20288273493345,17.080192241167488,17.1680213391277,17.518256757455205,17.868492175782706,19.05404987655643,19.893155566299402,20.472827612836817,21.751889522515874,21.751889522515874,19.974498823179477,17.045871332118416,16.0489435094254,15.934630560387953,16.016244060646365,16.343238548436705,16.6699627928487,17.54041671447901,18.425463778539633,18.962167127921127,19.38509801502185,19.38509801502185,17.800931331197923,16.16595889224624
1345,2021-03-23T00:00:00.000,THE,18.644999999999992,18.584999999999997,18.58980000000001,18.57539999999999,18.612000000000005,18.7892,19.2568,19.98199999999998,20.11800000000001,20.112499999999997,20.0636,19.57600000000001,17.638699999999986,17.140699999999995,16.875600000000006,16.786299999999994,16.88600000000001,17.192900000000005,17.6508,18.470800000000004,18.983600000000013,19.006999999999994,18.98630000000001,18.505499999999994,16.54379999999999,16.075299999999984,15.825899999999994,15.726299999999993,15.819999999999995,16.108400000000007,16.4957,17.4212,17.902800000000003,17.962300000000013,17.897299999999987,17.516000000000002
1349,2021-03-29T00:00:00.000,THE,18.63,18.675,18.603,18.567799999999995,18.58600000000001,18.63229999999999,19.308899999999998,19.7959,19.92930000000001,20.01909999999999,19.9704,19.48500000000001,17.479800000000008,16.986499999999992,16.723799999999994,16.64280000000001,16.741600000000002,17.04579999999999,17.51889999999999,18.332600000000006,18.8513,18.8933,18.86790000000001,18.394900000000003,16.641099999999998,16.169899999999988,15.918900000000006,15.830300000000008,15.9246,16.21499999999999,16.641500000000004,17.574999999999992,18.07060000000001,18.121100000000002,18.0609,17.6709
76,2021-04-22T00:00:00.000,JKM,18.627358227774764,23.081726499633945,22.946745642910937,23.014236071272443,23.081726499633945,23.57467658838636,24.634006351948507,25.693336115510657,26.633882725156557,26.73781798483327,24.58109385611309,19.678319178220082,18.527472393799737,18.39546111592464,18.489677753917295,18.867084229314823,19.244490704712344,19.73015182720172,20.599158582784426,21.199283471774912,23.11736144580882,23.11736144580882,21.22843933682708,17.857157459313292,16.812675589990675,16.693082550934097,16.77866041409648,17.12097186674602,17.46328331939556,18.067457634087734,18.979118340394916,19.531999929532347,20.52221949445231,20.52221949445231,18.845217330525692,17.114222823909873
73,2021-04-19T00:00:00.000,JKM,18.604710402439785,23.390704745096397,23.12107126100306,23.12107126100306,23.053662889979734,23.23944036052004,24.334421939423052,25.429403518326065,26.3456180972752,26.448348454714758,24.31500832856833,19.272592542538963,18.14525494554475,18.016100506664046,18.108315158223963,18.477982664915917,18.847650171607874,19.61340926643293,20.47704531598387,21.073744216282407,22.596903767925628,22.596903767925628,20.750453668854504,17.70817906782946,16.67251685542698,16.553608488941823,16.63854303643122,16.978011592904725,17.317480149378227,18.221830855027253,19.14128103578551,19.698883080890514,19.957731225620112,19.957731225620112,18.326987913823654,16.6433964391449
74,2021-04-20T00:00:00.000,JKM,18.60100385532761,23.386044702169134,23.1838598776547,23.11646493614989,23.049069994645084,23.363400001823514,24.46436376624609,25.56532753066867,26.51020461056611,26.61345366095148,24.46678998414027,19.738360888162788,18.58375075030238,18.45138708518693,18.546009583059686,18.924499574550694,19.302989566041713,19.621363269710436,20.48563599956812,21.0822160217687,23.08465452375962,23.08465452375962,21.198404900922995,17.831892782874718,16.788888668146274,16.66946483179975,16.75492161762785,17.096748760940248,17.43857590425264,18.041895420603705,18.95226629045068,19.504365651258087,20.49318423301666,20.49318423301666,18.818554726505134,17.090009266789767
